LABEL;question;answer;context
;Some members employ professional workers for safety and health at work.;joint measures; riskassessment, a health risk assessment isalso performed. Through joint measures,we provide to employees the safestand healthiest jobs as possible.
;Managers take care of the implementation of measures to ensure what at work?;safety and health;p of managers,takes care of the implementation ofmeasures to ensure safety and healthat work. 
;What do NLB members hire to implement the occupational health and safety Law?;a licensedcompany;Other members hire a licensedcompany to implement the occupationalhealth and safety Law and to inspect th
;What does NLB follow the number of accidents and work-related health issues?;acts immediately uponany new hazard to mitigate it;LB follows the number ofaccidents and work-related healthissues and acts immediately uponany new hazard to mitigate it.b. 
;How are workers protected against reprisals?;policies andprocesses for workers to removethemselves from work situations;risk assessment,and incident investigationc. A description of the policies andprocesses for workers to removethemselves from work situations thatthey believe could cause injury or illhealth, and an explanatio
;All employees are obliged to inform their immediate supervisor of any deficiencies and irregularities in their workplaces and in what environment?;work environment that couldendanger their safety and health;of any deficienciesand irregularities in their workplacesand in the work environment that couldendanger their safety and health.GRI Topic GRI Disclosure Value CommentGRI 403 - OccupationalHealth
;What does GRI Topic GRI Disclosure Value Comment GRI 403 - Occupational Health and Safety Disclosure 403-2 Hazard identification, risk assessment, and incident investigation c. A description of the policies and processes for workers to remove themselves from work situations that they believe could cause injury or ill health and an explanation of how workers are protected against reprisals.;A description of the policies andprocesses;zardidentification, risk assessment,and incident investigationc. A description of the policies andprocesses for workers to removethemselves from work situations thatthey belie
;What are all employees informed about on their workplaces?;hazards;kers are protected against reprisals.All employees are informed abouthazards on their workplaces and withprocedures and measures to avoid orredu
;What must an employee do if there is a danger to their safety and health?;stop working;he safetyand health of the employee is identified,the employee must stop working. He/She must inform a superior, who musttake care to eliminate the 
;Who must inform the employee of the danger?;a superior;ee is identified,the employee must stop working. He/She must inform a superior, who musttake care to eliminate the danger. Theemployee does not re
;What does the employee do after the danger has been eliminated?;Theemployee does not return to the position;e must inform a superior, who musttake care to eliminate the danger. Theemployee does not return to the positionuntil the danger has been eliminated.d. A description of the proce
;What is a description of the processes used to investigate work-related incidents?;processes to identifyhazards and assess risks relating tothe incidents;e processes usedto investigate work-related incidents,including the processes to identifyhazards and assess risks relating tothe incidents, to determine correctiveactions using the hierarchy of controls,and
;What are the processes to identify hazards and assess risks relating to the incidents used to determine corrective actions?;hierarchy of controls; relating tothe incidents, to determine correctiveactions using the hierarchy of controls,and to determine improvementsneeded in the occupational healthand 
;What does the safety statement with the risk assessment list for individual groups of workplaces with which we reduce the dangers that may occur in the workplace and in the work environment?;the measures;The safety statement with the riskassessment lists the measures forindividual groups of workplaces withwhich we reduce the dangers 
;Who shall re-assess the risks in individual group workplaces where the dangerous phenomenon is detected?;the groupparticipating in the preparation of therisk assessment;ace and inthe work environment. If dangerousphenomena are detected, the groupparticipating in the preparation of therisk assessment shall re-assess the risksin individual groups of workplaces whereth
;What does the hired company in Serbia do each month?;thesite inspection;the dangerous phenomenon occurred.In Serbia, the hired company does thesite inspection each month, compilesstatistics, and writes reports about it. Inthis
;What allows the Bank to act upon any new risks or hazards?;the risk is being assessed eachmonth;month, compilesstatistics, and writes reports about it. Inthis way, the risk is being assessed eachmonth, which allows the Bank to actupon any new risks or hazards and topr
;What do employers do to prevent accidents?;site inspection each month;e dangerous phenomenon occurred.In Serbia, the hired company does thesite inspection each month, compilesstatistics, and writes reports about it. Inthis way, the r
;What is the purpose of a safety plan?;reduce the dangers; lists the measures forindividual groups of workplaces withwhich we reduce the dangers thatmay occur in the workplace and inthe work environment. If dange
;Who goes through health and safety training?;Each employee;Each employee goes through a healthand safety training where he/she ispersonally 
;What does each employee go through?;a healthand safety training;Each employee goes through a healthand safety training where he/she ispersonally introduced to the possible risksand where
;Who does the Bank contract with to conduct risk assessment for each workplace?;specialised externalcompany;e way of working.In some members the Bank has signeda contract with specialised externalcompany to conduct risk assessment foreach workplace. This contract is signe
;What is a risk assessment for each workplace?;specialised externalcompany;e way of working.In some members the Bank has signeda contract with specialised externalcompany to conduct risk assessment foreach workplace. This contract is signe
;What is signed pursuant to law and administrative instructions issued by the Ministry of Labour and Social welfare?;a contract with specialised externalcompany to conduct risk assessment; healthy and safe way of working.In some members the Bank has signeda contract with specialised externalcompany to conduct risk assessment foreach workplace. This contract is signedpursuant to law and admin
